Batch,Pool Type," To (In Parallel)",d 90%-Take/10%-Give (In Parallel),d 50%-Take/50%-Give (In Parallel),d 10%-Take/90%-Give (In Parallel),L,
Repeat 2400000 for size 4,Microsoft.Extensions.ObjectPool.DefaultObjectPool,00:00:01.8355971,00:00:01.8797446,00:00:01.8578957,00:00:01.8588178,00:00:07.4320552,
Repeat 2400000 for size 4,ConcurrentQueueObjectPoolSlim,00:00:01.7520041,00:00:01.8010093,00:00:01.7254187,00:00:01.7207543,00:00:06.9991864,
Repeat 2400000 for size 4,ConcurrentQueueObjectPool,00:00:01.7484665,00:00:01.8173142,00:00:01.7557832,00:00:01.7397305,00:00:07.0612944,
Repeat 2400000 for size 4,ThreadLocalQueueObjectPool,00:00:02.0616567,00:00:02.1630499,00:00:01.9454432,00:00:01.8639510,00:00:08.0341008,
Repeat 2400000 for size 4,OptimisticArrayObjectPool,00:00:01.6473486,00:00:02.0109658,00:00:01.7951191,00:00:01.7106051,00:00:07.1640386,
Repeat 2400000 for size 4,InterlockedArrayObjectPool,00:00:01.7423738,00:00:01.9743592,00:00:01.7959594,00:00:01.7375679,00:00:07.2502603,
Repeat 960000 for size 10,Microsoft.Extensions.ObjectPool.DefaultObjectPool,00:00:01.2640236,00:00:01.6137366,00:00:01.4162651,00:00:01.4987573,00:00:05.7927826,
Repeat 960000 for size 10,ConcurrentQueueObjectPoolSlim,00:00:01.2250860,00:00:01.5528503,00:00:01.3519652,00:00:01.4727252,00:00:05.6026267,
Repeat 960000 for size 10,ConcurrentQueueObjectPool,00:00:01.3150016,00:00:01.6171388,00:00:01.5189861,00:00:01.6022217,00:00:06.0533482,
Repeat 960000 for size 10,ThreadLocalQueueObjectPool,00:00:01.5732282,00:00:01.5556383,00:00:01.4841129,00:00:01.4331097,00:00:06.0460891,
Repeat 960000 for size 10,OptimisticArrayObjectPool,00:00:01.1733181,00:00:01.4517791,00:00:01.3634064,00:00:01.2617279,00:00:05.2502315,
Repeat 960000 for size 10,InterlockedArrayObjectPool,00:00:01.3108578,00:00:01.5378567,00:00:01.4003111,00:00:01.4028315,00:00:05.6518571,
Repeat 288000 for size 50,Microsoft.Extensions.ObjectPool.DefaultObjectPool,00:00:01.6408177,00:00:02.0772948,00:00:01.7721604,00:00:02.0530728,00:00:07.5433457,
Repeat 288000 for size 50,ConcurrentQueueObjectPoolSlim,00:00:01.6407162,00:00:02.1276949,00:00:01.8119114,00:00:02.1733919,00:00:07.7537144,
Repeat 288000 for size 50,ConcurrentQueueObjectPool,00:00:01.6977177,00:00:02.1951213,00:00:01.9732844,00:00:02.1976431,00:00:08.0637665,
Repeat 288000 for size 50,ThreadLocalQueueObjectPool,00:00:01.7594267,00:00:01.9470653,00:00:01.7654001,00:00:01.8303533,00:00:07.3022454,
Repeat 288000 for size 50,OptimisticArrayObjectPool,00:00:01.3889277,00:00:01.8993232,00:00:01.7826067,00:00:01.6934618,00:00:06.7643194,
Repeat 288000 for size 50,InterlockedArrayObjectPool,00:00:01.5153339,00:00:01.9198172,00:00:01.7475344,00:00:01.7422020,00:00:06.9248875,
Repeat 192000 for size 100,Microsoft.Extensions.ObjectPool.DefaultObjectPool,00:00:01.9887568,00:00:01.9308602,00:00:01.3493030,00:00:01.7150401,00:00:06.9839601,
Repeat 192000 for size 100,ConcurrentQueueObjectPoolSlim,00:00:01.8800316,00:00:01.9281258,00:00:01.3794135,00:00:01.7564809,00:00:06.9440518,
Repeat 192000 for size 100,ConcurrentQueueObjectPool,00:00:01.9758240,00:00:02.0314437,00:00:01.5728121,00:00:01.9159026,00:00:07.4959824,
Repeat 192000 for size 100,ThreadLocalQueueObjectPool,00:00:01.3964374,00:00:01.4601613,00:00:01.3736263,00:00:01.3987313,00:00:05.6289563,
Repeat 192000 for size 100,OptimisticArrayObjectPool,00:00:01.1140604,00:00:01.4636829,00:00:01.3782434,00:00:01.2913816,00:00:05.2473683,
Repeat 192000 for size 100,InterlockedArrayObjectPool,00:00:01.1974953,00:00:01.5104815,00:00:01.4552913,00:00:01.3952706,00:00:05.5585387,
Repeat 153600 for size 250,Microsoft.Extensions.ObjectPool.DefaultObjectPool,00:00:06.0466243,00:00:04.3668027,00:00:01.8187730,00:00:04.2391133,00:00:16.4713133,
Repeat 153600 for size 250,ConcurrentQueueObjectPoolSlim,00:00:05.8672067,00:00:04.3384800,00:00:01.9399611,00:00:04.2650622,00:00:16.4107100,
Repeat 153600 for size 250,ConcurrentQueueObjectPool,00:00:06.1737997,00:00:04.5464359,00:00:02.7172760,00:00:04.5812125,00:00:18.0187241,
Repeat 153600 for size 250,ThreadLocalQueueObjectPool,00:00:01.6618598,00:00:01.5056212,00:00:01.6204219,00:00:01.4035990,00:00:06.1915019,
Repeat 153600 for size 250,OptimisticArrayObjectPool,00:00:01.1491569,00:00:01.4353967,00:00:01.4634684,00:00:01.3301811,00:00:05.3782031,
Repeat 153600 for size 250,InterlockedArrayObjectPool,00:00:01.1739766,00:00:01.4979573,00:00:01.6206217,00:00:01.4023615,00:00:05.6949171,
ectPool,00:00:00.8285180,00:00:00.9902911,00:00:00.8006946,00:00:01.1172107,00:00:03.7367144,
Repeat 14400 for size 500,ConcurrentStackObjectPool,00:00:00.6978419,00:00:02.2585037,00:00:02.4760289,00:00:02.8394301,00:00:08.2718046,
Repeat 14400 for size 500,OptimisticArrayObjectPool,00:00:01.0721065,00:00:05.6089585,00:00:00.5478712,00:00:22.2804453,00:00:29.5093815,
Repeat 14400 for size 500,InterlockedArrayObjectPool,00:00:01.1338229,00:00:12.8073240,00:00:00.7613453,00:00:32.4547747,00:00:47.1572669,
